Data supplied by UK-AIR on 5/4/2008
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM10 particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"Sulphur dioxide",status,unit
25-01-2005,10:00,0.5,R,mgm-3,20,R,ugm-3 (GRAV EQ),20,R,ugm-3,44,R,ugm-3,74,R,ugm-3,18,R,ugm-3,5,R,ugm-3
25-01-2005,11:00,0.3,R,mgm-3,18,R,ugm-3 (GRAV EQ),14,R,ugm-3,32,R,ugm-3,53,R,ugm-3,32,R,ugm-3,3,R,ugm-3
25-01-2005,12:00,0.3,R,mgm-3,20,R,ugm-3 (GRAV EQ),10,R,ugm-3,32,R,ugm-3,48,R,ugm-3,36,R,ugm-3,,,
25-01-2005,13:00,0.3,R,mgm-3,21,R,ugm-3 (GRAV EQ),6,R,ugm-3,23,R,ugm-3,32,R,ugm-3,50,R,ugm-3,3,R,ugm-3
25-01-2005,14:00,0.3,R,mgm-3,16,R,ugm-3 (GRAV EQ),5,R,ugm-3,19,R,ugm-3,27,R,ugm-3,58,R,ugm-3,3,R,ugm-3
25-01-2005,15:00,0.3,R,mgm-3,20,R,ugm-3 (GRAV EQ),5,R,ugm-3,25,R,ugm-3,32,R,ugm-3,54,R,ugm-3,3,R,ugm-3
25-01-2005,16:00,0.3,R,mgm-3,22,R,ugm-3 (GRAV EQ),11,R,ugm-3,27,R,ugm-3,44,R,ugm-3,50,R,ugm-3,3,R,ugm-3
25-01-2005,17:00,0.5,R,mgm-3,25,R,ugm-3 (GRAV EQ),8,R,ugm-3,38,R,ugm-3,50,R,ugm-3,40,R,ugm-3,3,R,ugm-3
25-01-2005,18:00,0.8,R,mgm-3,26,R,ugm-3 (GRAV EQ),23,R,ugm-3,59,R,ugm-3,94,R,ugm-3,18,R,ugm-3,3,R,ugm-3
25-01-2005,19:00,0.5,R,mgm-3,25,R,ugm-3 (GRAV EQ),13,R,ugm-3,48,R,ugm-3,67,R,ugm-3,20,R,ugm-3,3,R,ugm-3
25-01-2005,20:00,0.5,R,mgm-3,20,R,ugm-3 (GRAV EQ),6,R,ugm-3,40,R,ugm-3,50,R,ugm-3,28,R,ugm-3,3,R,ugm-3
25-01-2005,21:00,0.5,R,mgm-3,18,R,ugm-3 (GRAV EQ),5,R,ugm-3,38,R,ugm-3,46,R,ugm-3,32,R,ugm-3,0,R,ugm-3
25-01-2005,22:00,0.5,R,mgm-3,18,R,ugm-3 (GRAV EQ),6,R,ugm-3,46,R,ugm-3,55,R,ugm-3,22,R,ugm-3,3,R,ugm-3
25-01-2005,23:00,0.5,R,mgm-3,16,R,ugm-3 (GRAV EQ),5,R,ugm-3,40,R,ugm-3,48,R,ugm-3,18,R,ugm-3,3,R,ugm-3
25-01-2005,24:00,0.3,R,mgm-3,10,R,ugm-3 (GRAV EQ),1,R,ugm-3,25,R,ugm-3,27,R,ugm-3,42,R,ugm-3,0,R,ugm-3
26-01-2005,01:00,0.2,R,mgm-3,10,R,ugm-3 (GRAV EQ),1,R,ugm-3,17,R,ugm-3,19,R,ugm-3,44,R,ugm-3,0,R,ugm-3
26-01-2005,02:00,0.2,R,mgm-3,8,R,ugm-3 (GRAV EQ),0,R,ugm-3,11,R,ugm-3,11,R,ugm-3,50,R,ugm-3,0,R,ugm-3
26-01-2005,03:00,0.2,R,mgm-3,10,R,ugm-3 (GRAV EQ),0,R,ugm-3,10,R,ugm-3,10,R,ugm-3,54,R,ugm-3,0,R,ugm-3
26-01-2005,04:00,0.2,R,mgm-3,13,R,ugm-3 (GRAV EQ),0,R,ugm-3,11,R,ugm-3,11,R,ugm-3,52,R,ugm-3,0,R,ugm-3
26-01-2005,05:00,0.2,R,mgm-3,10,R,ugm-3 (GRAV EQ),1,R,ugm-3,10,R,ugm-3,11,R,ugm-3,50,R,ugm-3,0,R,ugm-3
26-01-2005,06:00,0.3,R,mgm-3,12,R,ugm-3 (GRAV EQ),3,R,ugm-3,15,R,ugm-3,19,R,ugm-3,46,R,ugm-3,0,R,ugm-3
26-01-2005,07:00,0.3,R,mgm-3,13,R,ugm-3 (GRAV EQ),4,R,ugm-3,21,R,ugm-3,27,R,ugm-3,40,R,ugm-3,0,R,ugm-3
26-01-2005,08:00,0.6,R,mgm-3,17,R,ugm-3 (GRAV EQ),8,R,ugm-3,32,R,ugm-3,44,R,ugm-3,30,R,ugm-3,0,R,ugm-3
26-01-2005,09:00,0.7,R,mgm-3,21,R,ugm-3 (GRAV EQ),18,R,ugm-3,44,R,ugm-3,71,R,ugm-3,20,R,ugm-3,0,R,ugm-3
26-01-2005,10:00,0.5,R,mgm-3,25,R,ugm-3 (GRAV EQ),13,R,ugm-3,42,R,ugm-3,61,R,ugm-3,20,R,ugm-3,0,R,ugm-3
26-01-2005,11:00,0.5,R,mgm-3,23,R,ugm-3 (GRAV EQ),14,R,ugm-3,38,R,ugm-3,59,R,ugm-3,24,R,ugm-3,0,R,ugm-3
26-01-2005,12:00,0.3,R,mgm-3,25,R,ugm-3 (GRAV EQ),14,R,ugm-3,31,R,ugm-3,52,R,ugm-3,32,R,ugm-3,0,R,ugm-3
26-01-2005,13:00,0.5,R,mgm-3,23,R,ugm-3 (GRAV EQ),13,R,ugm-3,27,R,ugm-3,46,R,ugm-3,40,R,ugm-3,0,R,ugm-3
26-01-2005,14:00,0.5,R,mgm-3,22,R,ugm-3 (GRAV EQ),11,R,ugm-3,25,R,ugm-3,42,R,ugm-3,40,R,ugm-3,0,R,ugm-3
26-01-2005,15:00,0.5,R,mgm-3,23,R,ugm-3 (GRAV EQ),10,R,ugm-3,29,R,ugm-3,44,R,ugm-3,36,R,ugm-3,0,R,ugm-3
26-01-2005,16:00,0.5,R,mgm-3,23,R,ugm-3 (GRAV EQ),15,R,ugm-3,34,R,ugm-3,57,R,ugm-3,32,R,ugm-3,0,R,ugm-3
26-01-2005,17:00,0.6,R,mgm-3,27,R,ugm-3 (GRAV EQ),14,R,ugm-3,44,R,ugm-3,65,R,ugm-3,22,R,ugm-3,0,R,ugm-3
26-01-2005,18:00,0.8,R,mgm-3,33,R,ugm-3 (GRAV EQ),39,R,ugm-3,61,R,ugm-3,120,R,ugm-3,8,R,ugm-3,3,R,ugm-3
26-01-2005,19:00,0.7,R,mgm-3,31,R,ugm-3 (GRAV EQ),31,R,ugm-3,59,R,ugm-3,107,R,ugm-3,4,R,ugm-3,3,R,ugm-3
26-01-2005,20:00,,,,,,,,,,,,,,,,8,R,ugm-3,,,
26-01-2005,21:00,0.6,R,mgm-3,35,R,ugm-3 (GRAV EQ),16,R,ugm-3,50,R,ugm-3,74,R,ugm-3,8,R,ugm-3,3,R,ugm-3
26-01-2005,22:00,0.5,R,mgm-3,30,R,ugm-3 (GRAV EQ),9,R,ugm-3,46,R,ugm-3,59,R,ugm-3,10,R,ugm-3,3,R,ugm-3
26-01-2005,23:00,0.5,R,mgm-3,27,R,ugm-3 (GRAV EQ),6,R,ugm-3,44,R,ugm-3,53,R,ugm-3,10,R,ugm-3,3,R,ugm-3
26-01-2005,24:00,0.3,R,mgm-3,27,R,ugm-3 (GRAV EQ),8,R,ugm-3,46,R,ugm-3,57,R,ugm-3,6,R,ugm-3,5,R,ugm-3
27-01-2005,01:00,0.3,R,mgm-3,30,R,ugm-3 (GRAV EQ),6,R,ugm-3,46,R,ugm-3,55,R,ugm-3,4,R,ugm-3,5,R,ugm-3
27-01-2005,02:00,0.3,R,mgm-3,31,R,ugm-3 (GRAV EQ),3,R,ugm-3,36,R,ugm-3,40,R,ugm-3,14,R,ugm-3,3,R,ugm-3
27-01-2005,03:00,0.3,R,mgm-3,33,R,ugm-3 (GRAV EQ),3,R,ugm-3,34,R,ugm-3,38,R,ugm-3,20,R,ugm-3,3,R,ugm-3
27-01-2005,04:00,0.2,R,mgm-3,33,R,ugm-3 (GRAV EQ),1,R,ugm-3,27,R,ugm-3,29,R,ugm-3,30,R,ugm-3,0,R,ugm-3
27-01-2005,05:00,0.2,R,mgm-3,22,R,ugm-3 (GRAV EQ),1,R,ugm-3,13,R,ugm-3,15,R,ugm-3,50,R,ugm-3,0,R,ugm-3
27-01-2005,06:00,0.2,R,mgm-3,26,R,ugm-3 (GRAV EQ),3,R,ugm-3,15,R,ugm-3,19,R,ugm-3,60,R,ugm-3,0,R,ugm-3
27-01-2005,07:00,0.2,R,mgm-3,27,R,ugm-3 (GRAV EQ),4,R,ugm-3,25,R,ugm-3,31,R,ugm-3,52,R,ugm-3,0,R,ugm-3
27-01-2005,08:00,0.5,R,mgm-3,31,R,ugm-3 (GRAV EQ),9,R,ugm-3,40,R,ugm-3,53,R,ugm-3,36,R,ugm-3,0,R,ugm-3
27-01-2005,09:00,0.6,R,mgm-3,35,R,ugm-3 (GRAV EQ),11,R,ugm-3,36,R,ugm-3,53,R,ugm-3,36,R,ugm-3,0,R,ugm-3
27-01-2005,10:00,0.3,R,mgm-3,38,R,ugm-3 (GRAV EQ),6,R,ugm-3,25,R,ugm-3,34,R,ugm-3,50,R,ugm-3,0,R,ugm-3
27-01-2005,11:00,0.3,R,mgm-3,34,R,ugm-3 (GRAV EQ),9,R,ugm-3,31,R,ugm-3,44,R,ugm-3,48,R,ugm-3,0,R,ugm-3
27-01-2005,12:00,0.3,R,mgm-3,38,R,ugm-3 (GRAV EQ),10,R,ugm-3,36,R,ugm-3,52,R,ugm-3,36,R,ugm-3,0,R,ugm-3
27-01-2005,13:00,0.3,R,mgm-3,25,R,ugm-3 (GRAV EQ),16,R,ugm-3,34,R,ugm-3,59,R,ugm-3,38,R,ugm-3,0,R,ugm-3
27-01-2005,14:00,0.3,R,mgm-3,12,R,ugm-3 (GRAV EQ),13,R,ugm-3,36,R,ugm-3,55,R,ugm-3,38,R,ugm-3,0,R,ugm-3
27-01-2005,15:00,0.5,R,mgm-3,12,R,ugm-3 (GRAV EQ),18,R,ugm-3,42,R,ugm-3,69,R,ugm-3,26,R,ugm-3,0,R,ugm-3
27-01-2005,16:00,0.6,R,mgm-3,20,R,ugm-3 (GRAV EQ),24,R,ugm-3,48,R,ugm-3,84,R,ugm-3,26,R,ugm-3,0,R,ugm-3
27-01-2005,17:00,0.6,R,mgm-3,16,R,ugm-3 (GRAV EQ),25,R,ugm-3,53,R,ugm-3,92,R,ugm-3,16,R,ugm-3,0,R,ugm-3
27-01-2005,18:00,0.7,R,mgm-3,18,R,ugm-3 (GRAV EQ),20,R,ugm-3,53,R,ugm-3,84,R,ugm-3,18,R,ugm-3,0,R,ugm-3
27-01-2005,19:00,0.7,R,mgm-3,21,R,ugm-3 (GRAV EQ),24,R,ugm-3,55,R,ugm-3,92,R,ugm-3,14,R,ugm-3,0,R,ugm-3
27-01-2005,20:00,0.5,R,mgm-3,17,R,ugm-3 (GRAV EQ),9,R,ugm-3,38,R,ugm-3,52,R,ugm-3,28,R,ugm-3,0,R,ugm-3
27-01-2005,21:00,0.3,R,mgm-3,17,R,ugm-3 (GRAV EQ),5,R,ugm-3,32,R,ugm-3,40,R,ugm-3,28,R,ugm-3,3,R,ugm-3
27-01-2005,22:00,0.3,R,mgm-3,17,R,ugm-3 (GRAV EQ),4,R,ugm-3,31,R,ugm-3,36,R,ugm-3,32,R,ugm-3,3,R,ugm-3
27-01-2005,23:00,0.3,R,mgm-3,14,R,ugm-3 (GRAV EQ),4,R,ugm-3,31,R,ugm-3,36,R,ugm-3,32,R,ugm-3,5,R,ugm-3
27-01-2005,24:00,0.2,R,mgm-3,12,R,ugm-3 (GRAV EQ),3,R,ugm-3,27,R,ugm-3,31,R,ugm-3,36,R,ugm-3,5,R,ugm-3
28-01-2005,01:00,0.2,R,mgm-3,8,R,ugm-3 (GRAV EQ),1,R,ugm-3,19,R,ugm-3,21,R,ugm-3,44,R,ugm-3,3,R,ugm-3
28-01-2005,02:00,0.2,R,mgm-3,8,R,ugm-3 (GRAV EQ),1,R,ugm-3,13,R,ugm-3,15,R,ugm-3,50,R,ugm-3,3,R,ugm-3
28-01-2005,03:00,0.2,R,mgm-3,5,R,ugm-3 (GRAV EQ),1,R,ugm-3,15,R,ugm-3,17,R,ugm-3,52,R,ugm-3,3,R,ugm-3
28-01-2005,04:00,0.2,R,mgm-3,8,R,ugm-3 (GRAV EQ),0,R,ugm-3,15,R,ugm-3,15,R,ugm-3,52,R,ugm-3,5,R,ugm-3
28-01-2005,05:00,0.2,R,mgm-3,10,R,ugm-3 (GRAV EQ),1,R,ugm-3,13,R,ugm-3,15,R,ugm-3,52,R,ugm-3,5,R,ugm-3
28-01-2005,06:00,0.2,R,mgm-3,10,R,ugm-3 (GRAV EQ),1,R,ugm-3,17,R,ugm-3,19,R,ugm-3,46,R,ugm-3,3,R,ugm-3
28-01-2005,07:00,0.3,R,mgm-3,10,R,ugm-3 (GRAV EQ),5,R,ugm-3,27,R,ugm-3,34,R,ugm-3,40,R,ugm-3,3,R,ugm-3
28-01-2005,08:00,0.6,R,mgm-3,10,R,ugm-3 (GRAV EQ),13,R,ugm-3,38,R,ugm-3,57,R,ugm-3,32,R,ugm-3,3,R,ugm-3
28-01-2005,09:00,0.5,R,mgm-3,12,R,ugm-3 (GRAV EQ),13,R,ugm-3,36,R,ugm-3,55,R,ugm-3,36,R,ugm-3,3,R,ugm-3
28-01-2005,10:00,0.3,R,mgm-3,13,R,ugm-3 (GRAV EQ),11,R,ugm-3,36,R,ugm-3,53,R,ugm-3,38,R,ugm-3,5,R,ugm-3
28-01-2005,11:00,0.3,R,mgm-3,13,R,ugm-3 (GRAV EQ),13,R,ugm-3,36,R,ugm-3,55,R,ugm-3,34,R,ugm-3,8,R,ugm-3
28-01-2005,12:00,0.3,R,mgm-3,13,R,ugm-3 (GRAV EQ),10,R,ugm-3,31,R,ugm-3,46,R,ugm-3,40,R,ugm-3,5,R,ugm-3
28-01-2005,13:00,0.3,R,mgm-3,16,R,ugm-3 (GRAV EQ),8,R,ugm-3,29,R,ugm-3,40,R,ugm-3,46,R,ugm-3,3,R,ugm-3
28-01-2005,14:00,0.3,R,mgm-3,16,R,ugm-3 (GRAV EQ),8,R,ugm-3,32,R,ugm-3,44,R,ugm-3,44,R,ugm-3,3,R,ugm-3
28-01-2005,15:00,0.3,R,mgm-3,16,R,ugm-3 (GRAV EQ),9,R,ugm-3,32,R,ugm-3,46,R,ugm-3,42,R,ugm-3,3,R,ugm-3
28-01-2005,16:00,0.5,R,mgm-3,16,R,ugm-3 (GRAV EQ),14,R,ugm-3,38,R,ugm-3,59,R,ugm-3,40,R,ugm-3,3,R,ugm-3
28-01-2005,17:00,0.3,R,mgm-3,13,R,ugm-3 (GRAV EQ),8,R,ugm-3,36,R,ugm-3,48,R,ugm-3,40,R,ugm-3,3,R,ugm-3
28-01-2005,18:00,0.5,R,mgm-3,12,R,ugm-3 (GRAV EQ),9,R,ugm-3,38,R,ugm-3,52,R,ugm-3,34,R,ugm-3,3,R,ugm-3
28-01-2005,19:00,0.3,R,mgm-3,9,R,ugm-3 (GRAV EQ),5,R,ugm-3,25,R,ugm-3,32,R,ugm-3,50,R,ugm-3,0,R,ugm-3
28-01-2005,20:00,0.3,R,mgm-3,12,R,ugm-3 (GRAV EQ),3,R,ugm-3,17,R,ugm-3,21,R,ugm-3,60,R,ugm-3,0,R,ugm-3
28-01-2005,21:00,0.2,R,mgm-3,8,R,ugm-3 (GRAV EQ),3,R,ugm-3,13,R,ugm-3,17,R,ugm-3,64,R,ugm-3,0,R,ugm-3
28-01-2005,22:00,0.2,R,mgm-3,9,R,ugm-3 (GRAV EQ),1,R,ugm-3,11,R,ugm-3,13,R,ugm-3,64,R,ugm-3,0,R,ugm-3
28-01-2005,23:00,0.2,R,mgm-3,9,R,ugm-3 (GRAV EQ),1,R,ugm-3,10,R,ugm-3,11,R,ugm-3,68,R,ugm-3,0,R,ugm-3
28-01-2005,24:00,0.2,R,mgm-3,10,R,ugm-3 (GRAV EQ),1,R,ugm-3,10,R,ugm-3,11,R,ugm-3,68,R,ugm-3,0,R,ugm-3
29-01-2005,01:00,0.2,R,mgm-3,10,R,ugm-3 (GRAV EQ),0,R,ugm-3,8,R,ugm-3,8,R,ugm-3,70,R,ugm-3,0,R,ugm-3
29-01-2005,02:00,0.2,R,mgm-3,12,R,ugm-3 (GRAV EQ),1,R,ugm-3,13,R,ugm-3,15,R,ugm-3,60,R,ugm-3,0,R,ugm-3
29-01-2005,03:00,0.2,R,mgm-3,8,R,ugm-3 (GRAV EQ),0,R,ugm-3,6,R,ugm-3,6,R,ugm-3,70,R,ugm-3,0,R,ugm-3
29-01-2005,04:00,0.2,R,mgm-3,13,R,ugm-3 (GRAV EQ),0,R,ugm-3,6,R,ugm-3,6,R,ugm-3,74,R,ugm-3,0,R,ugm-3
29-01-2005,05:00,0.2,R,mgm-3,12,R,ugm-3 (GRAV EQ),1,R,ugm-3,10,R,ugm-3,11,R,ugm-3,64,R,ugm-3,0,R,ugm-3
29-01-2005,06:00,0.2,R,mgm-3,9,R,ugm-3 (GRAV EQ),1,R,ugm-3,13,R,ugm-3,15,R,ugm-3,60,R,ugm-3,0,R,ugm-3
29-01-2005,07:00,0.2,R,mgm-3,9,R,ugm-3 (GRAV EQ),3,R,ugm-3,25,R,ugm-3,29,R,ugm-3,48,R,ugm-3,0,R,ugm-3
29-01-2005,08:00,0.3,R,mgm-3,13,R,ugm-3 (GRAV EQ),8,R,ugm-3,32,R,ugm-3,44,R,ugm-3,40,R,ugm-3,0,R,ugm-3
29-01-2005,09:00,0.5,R,mgm-3,14,R,ugm-3 (GRAV EQ),13,R,ugm-3,38,R,ugm-3,57,R,ugm-3,32,R,ugm-3,0,R,ugm-3
29-01-2005,10:00,0.5,R,mgm-3,12,R,ugm-3 (GRAV EQ),11,R,ugm-3,32,R,ugm-3,50,R,ugm-3,36,R,ugm-3,0,R,ugm-3
29-01-2005,11:00,0.5,R,mgm-3,10,R,ugm-3 (GRAV EQ),8,R,ugm-3,19,R,ugm-3,31,R,ugm-3,58,R,ugm-3,0,R,ugm-3
29-01-2005,12:00,0.3,R,mgm-3,10,R,ugm-3 (GRAV EQ),4,R,ugm-3,15,R,ugm-3,21,R,ugm-3,62,R,ugm-3,0,R,ugm-3
29-01-2005,13:00,0.3,R,mgm-3,10,R,ugm-3 (GRAV EQ),5,R,ugm-3,19,R,ugm-3,27,R,ugm-3,56,R,ugm-3,0,R,ugm-3
29-01-2005,14:00,0.3,R,mgm-3,12,R,ugm-3 (GRAV EQ),4,R,ugm-3,19,R,ugm-3,25,R,ugm-3,52,R,ugm-3,0,R,ugm-3
29-01-2005,15:00,0.3,R,mgm-3,12,R,ugm-3 (GRAV EQ),4,R,ugm-3,19,R,ugm-3,25,R,ugm-3,54,R,ugm-3,0,R,ugm-3
29-01-2005,16:00,0.3,R,mgm-3,14,R,ugm-3 (GRAV EQ),4,R,ugm-3,23,R,ugm-3,29,R,ugm-3,52,R,ugm-3,0,R,ugm-3
29-01-2005,17:00,0.3,R,mgm-3,18,R,ugm-3 (GRAV EQ),4,R,ugm-3,32,R,ugm-3,38,R,ugm-3,46,R,ugm-3,0,R,ugm-3
29-01-2005,18:00,0.5,R,mgm-3,21,R,ugm-3 (GRAV EQ),11,R,ugm-3,50,R,ugm-3,67,R,ugm-3,26,R,ugm-3,0,R,ugm-3
29-01-2005,19:00,0.5,R,mgm-3,17,R,ugm-3 (GRAV EQ),10,R,ugm-3,44,R,ugm-3,59,R,ugm-3,28,R,ugm-3,0,R,ugm-3
29-01-2005,20:00,0.3,R,mgm-3,17,R,ugm-3 (GRAV EQ),5,R,ugm-3,34,R,ugm-3,42,R,ugm-3,38,R,ugm-3,0,R,ugm-3
29-01-2005,21:00,0.5,R,mgm-3,21,R,ugm-3 (GRAV EQ),6,R,ugm-3,46,R,ugm-3,55,R,ugm-3,22,R,ugm-3,0,R,ugm-3
29-01-2005,22:00,0.3,R,mgm-3,20,R,ugm-3 (GRAV EQ),6,R,ugm-3,42,R,ugm-3,52,R,ugm-3,14,R,ugm-3,3,R,ugm-3
29-01-2005,23:00,0.5,R,mgm-3,21,R,ugm-3 (GRAV EQ),8,R,ugm-3,44,R,ugm-3,55,R,ugm-3,10,R,ugm-3,3,R,ugm-3
29-01-2005,24:00,0.5,R,mgm-3,23,R,ugm-3 (GRAV EQ),18,R,ugm-3,48,R,ugm-3,74,R,ugm-3,6,R,ugm-3,3,R,ugm-3
30-01-2005,01:00,0.5,R,mgm-3,17,R,ugm-3 (GRAV EQ),6,R,ugm-3,34,R,ugm-3,44,R,ugm-3,10,R,ugm-3,3,R,ugm-3
30-01-2005,02:00,0.3,R,mgm-3,16,R,ugm-3 (GRAV EQ),1,R,ugm-3,27,R,ugm-3,29,R,ugm-3,22,R,ugm-3,0,R,ugm-3
30-01-2005,03:00,0.3,R,mgm-3,14,R,ugm-3 (GRAV EQ),1,R,ugm-3,23,R,ugm-3,25,R,ugm-3,26,R,ugm-3,3,R,ugm-3
30-01-2005,04:00,0.3,R,mgm-3,17,R,ugm-3 (GRAV EQ),1,R,ugm-3,25,R,ugm-3,27,R,ugm-3,26,R,ugm-3,3,R,ugm-3
30-01-2005,05:00,0.3,R,mgm-3,17,R,ugm-3 (GRAV EQ),1,R,ugm-3,27,R,ugm-3,29,R,ugm-3,22,R,ugm-3,3,R,ugm-3
30-01-2005,06:00,0.3,R,mgm-3,17,R,ugm-3 (GRAV EQ),1,R,ugm-3,21,R,ugm-3,23,R,ugm-3,28,R,ugm-3,3,R,ugm-3
30-01-2005,07:00,0.3,R,mgm-3,16,R,ugm-3 (GRAV EQ),3,R,ugm-3,23,R,ugm-3,27,R,ugm-3,30,R,ugm-3,3,R,ugm-3
30-01-2005,08:00,0.3,R,mgm-3,17,R,ugm-3 (GRAV EQ),6,R,ugm-3,38,R,ugm-3,48,R,ugm-3,18,R,ugm-3,3,R,ugm-3
30-01-2005,09:00,0.3,R,mgm-3,18,R,ugm-3 (GRAV EQ),6,R,ugm-3,31,R,ugm-3,40,R,ugm-3,20,R,ugm-3,3,R,ugm-3
30-01-2005,10:00,0.5,R,mgm-3,21,R,ugm-3 (GRAV EQ),8,R,ugm-3,31,R,ugm-3,42,R,ugm-3,26,R,ugm-3,3,R,ugm-3
30-01-2005,11:00,0.6,R,mgm-3,20,R,ugm-3 (GRAV EQ),11,R,ugm-3,36,R,ugm-3,53,R,ugm-3,16,R,ugm-3,3,R,ugm-3
30-01-2005,12:00,0.6,R,mgm-3,18,R,ugm-3 (GRAV EQ),11,R,ugm-3,34,R,ugm-3,52,R,ugm-3,24,R,ugm-3,3,R,ugm-3
30-01-2005,13:00,0.5,R,mgm-3,20,R,ugm-3 (GRAV EQ),10,R,ugm-3,36,R,ugm-3,52,R,ugm-3,30,R,ugm-3,0,R,ugm-3
30-01-2005,14:00,0.5,R,mgm-3,18,R,ugm-3 (GRAV EQ),6,R,ugm-3,25,R,ugm-3,34,R,ugm-3,40,R,ugm-3,0,R,ugm-3
30-01-2005,15:00,0.3,R,mgm-3,20,R,ugm-3 (GRAV EQ),4,R,ugm-3,19,R,ugm-3,25,R,ugm-3,52,R,ugm-3,0,R,ugm-3
30-01-2005,16:00,0.5,R,mgm-3,20,R,ugm-3 (GRAV EQ),6,R,ugm-3,27,R,ugm-3,36,R,ugm-3,48,R,ugm-3,0,R,ugm-3
30-01-2005,17:00,0.3,R,mgm-3,21,R,ugm-3 (GRAV EQ),5,R,ugm-3,31,R,ugm-3,38,R,ugm-3,44,R,ugm-3,0,R,ugm-3
30-01-2005,18:00,0.5,R,mgm-3,20,R,ugm-3 (GRAV EQ),5,R,ugm-3,38,R,ugm-3,46,R,ugm-3,36,R,ugm-3,0,R,ugm-3
30-01-2005,19:00,0.5,R,mgm-3,23,R,ugm-3 (GRAV EQ),8,R,ugm-3,44,R,ugm-3,55,R,ugm-3,26,R,ugm-3,0,R,ugm-3
30-01-2005,20:00,0.5,R,mgm-3,29,R,ugm-3 (GRAV EQ),10,R,ugm-3,50,R,ugm-3,65,R,ugm-3,20,R,ugm-3,3,R,ugm-3
30-01-2005,21:00,0.5,R,mgm-3,16,R,ugm-3 (GRAV EQ),8,R,ugm-3,40,R,ugm-3,52,R,ugm-3,20,R,ugm-3,0,R,ugm-3
30-01-2005,22:00,0.2,R,mgm-3,8,R,ugm-3 (GRAV EQ),1,R,ugm-3,15,R,ugm-3,17,R,ugm-3,50,R,ugm-3,3,R,ugm-3
30-01-2005,23:00,0.2,R,mgm-3,12,R,ugm-3 (GRAV EQ),1,R,ugm-3,15,R,ugm-3,17,R,ugm-3,60,R,ugm-3,3,R,ugm-3
30-01-2005,24:00,0.2,R,mgm-3,13,R,ugm-3 (GRAV EQ),1,R,ugm-3,17,R,ugm-3,19,R,ugm-3,56,R,ugm-3,3,R,ugm-3
31-01-2005,01:00,0.2,R,mgm-3,12,R,ugm-3 (GRAV EQ),0,R,ugm-3,13,R,ugm-3,13,R,ugm-3,62,R,ugm-3,0,R,ugm-3
31-01-2005,02:00,0.2,R,mgm-3,9,R,ugm-3 (GRAV EQ),0,R,ugm-3,10,R,ugm-3,10,R,ugm-3,64,R,ugm-3,0,R,ugm-3
31-01-2005,03:00,0.2,R,mgm-3,8,R,ugm-3 (GRAV EQ),0,R,ugm-3,10,R,ugm-3,10,R,ugm-3,66,R,ugm-3,0,R,ugm-3
31-01-2005,04:00,0.2,R,mgm-3,8,R,ugm-3 (GRAV EQ),0,R,ugm-3,8,R,ugm-3,8,R,ugm-3,62,R,ugm-3,0,R,ugm-3
31-01-2005,05:00,0.2,R,mgm-3,8,R,ugm-3 (GRAV EQ),0,R,ugm-3,8,R,ugm-3,8,R,ugm-3,64,R,ugm-3,0,R,ugm-3
31-01-2005,06:00,0.2,R,mgm-3,8,R,ugm-3 (GRAV EQ),1,R,ugm-3,11,R,ugm-3,13,R,ugm-3,62,R,ugm-3,0,R,ugm-3
31-01-2005,07:00,0.2,R,mgm-3,9,R,ugm-3 (GRAV EQ),3,R,ugm-3,23,R,ugm-3,27,R,ugm-3,54,R,ugm-3,0,R,ugm-3
31-01-2005,08:00,0.5,R,mgm-3,14,R,ugm-3 (GRAV EQ),6,R,ugm-3,42,R,ugm-3,52,R,ugm-3,38,R,ugm-3,0,R,ugm-3
31-01-2005,09:00,0.6,R,mgm-3,16,R,ugm-3 (GRAV EQ),11,R,ugm-3,48,R,ugm-3,65,R,ugm-3,28,R,ugm-3,0,R,ugm-3
31-01-2005,10:00,0.5,R,mgm-3,18,R,ugm-3 (GRAV EQ),14,R,ugm-3,48,R,ugm-3,69,R,ugm-3,26,R,ugm-3,0,R,ugm-3
31-01-2005,11:00,0.3,R,mgm-3,16,R,ugm-3 (GRAV EQ),9,R,ugm-3,34,R,ugm-3,48,R,ugm-3,40,R,ugm-3,0,R,ugm-3
31-01-2005,12:00,0.3,R,mgm-3,16,R,ugm-3 (GRAV EQ),9,R,ugm-3,31,R,ugm-3,44,R,ugm-3,42,R,ugm-3,0,R,ugm-3
31-01-2005,13:00,0.3,R,mgm-3,16,R,ugm-3 (GRAV EQ),9,R,ugm-3,36,R,ugm-3,50,R,ugm-3,36,R,ugm-3,0,R,ugm-3
31-01-2005,14:00,0.3,R,mgm-3,17,R,ugm-3 (GRAV EQ),10,R,ugm-3,38,R,ugm-3,53,R,ugm-3,34,R,ugm-3,0,R,ugm-3
31-01-2005,15:00,0.3,R,mgm-3,20,R,ugm-3 (GRAV EQ),6,R,ugm-3,31,R,ugm-3,40,R,ugm-3,44,R,ugm-3,0,R,ugm-3
